date,cases,deaths,recovered
5/13/20,4355992,323468,1544638
5/14/20,4451634,329217,1584349
5/15/20,4547536,334970,1632452
5/16/20,4641426,339511,1688863
5/17/20,4719789,343391,1729871
5/18/20,4808921,347786,1782787
5/19/20,4904739,352754,1834839
5/20/20,5010162,358160,1893809
5/21/20,5116135,363195,1945029
5/22/20,5223477,368901,2053576
5/23/20,5327627,373355,2108410
5/24/20,5420843,376755,2163937
5/25/20,5509066,378449,2227666
5/26/20,5601428,383229,2282818
5/27/20,5703984,388449,2346145
5/28/20,5823977,393440,2413008
5/29/20,5945413,398596,2490273
5/30/20,6080456,402955,2560723
5/31/20,6183316,406242,2637107
6/1/20,6283580,409983,2692032
6/2/20,6406221,415254,2796144
6/3/20,6517437,420875,2875235
6/4/20,6655667,426403,2945305
6/5/20,6789073,431460,3014470
6/6/20,6918403,435600,3086674
6/7/20,7029415,438857,3141783
6/8/20,7132463,443312,3293394
6/9/20,7258445,448357,3375664
6/10/20,7395607,453783,3454835
6/11/20,7531793,458920,3540714
6/12/20,7659267,463663,3620434
6/13/20,7793175,468056,3706326
6/14/20,7925122,471838,3777145
6/15/20,8050034,475905,3857420
6/16/20,8193933,483023,3955283
6/17/20,8337135,488500,4074114
6/18/20,8480229,493854,4155277
6/19/20,8661225,500212,4250267
6/20/20,8847108,504694,4366121
6/21/20,8940170,509338,4434807
6/22/20,9082502,513205,4526440
6/23/20,9250625,518774,4630495
6/24/20,9422061,524272,4746246
6/25/20,9601576,529382,4839130
6/26/20,9794066,534465,4945110
6/27/20,9970478,539201,5051396
6/28/20,10138935,542822,5140599
6/29/20,10291617,546894,5235170
6/30/20,10475388,552146,5352510
7/1/20,10690516,557487,5468424
7/2/20,10895486,563001,5753358
7/3/20,11098124,568241,5863246
7/4/20,11287838,573035,6059006
7/5/20,11474058,576880,6178369
7/6/20,11642331,581148,6302068
7/7/20,11851900,587508,6447101
7/8/20,12067186,593137,6605157
7/9/20,12291782,598986,6739775
7/10/20,12524663,604728,6879221
7/11/20,12737483,609869,7004913
7/12/20,12930415,614171,7116749
7/13/20,13124893,618607,7257072
7/14/20,13345920,624592,7399324
7/15/20,13575706,630511,7559130
7/16/20,13820618,636673,7711615
7/17/20,14058038,643711,7895036
7/18/20,14293379,650241,8045823
7/19/20,14505270,655135,8133881
7/20/20,14713414,659101,8293009
7/21/20,14956435,665439,8467705
7/22/20,15231791,672857,8647437
7/23/20,15511422,679494,8823667
7/24/20,15794928,685956,9051967
7/25/20,16044485,692021,9271779
7/26/20,16256294,696430,9415080
7/27/20,16490680,701726,9586463
7/28/20,16754567,708664,9756921
7/29/20,17024801,715292,9959507
7/30/20,17306582,722069,10173026
7/31/20,17594044,728679,10372632
8/1/20,17840315,734665,10553543
8/2/20,18070926,739352,10692267
8/3/20,18276983,744209,10914712
8/4/20,18542287,751380,11138369
8/5/20,18817443,758757,11360064
8/6/20,19104145,765604,11548871
8/7/20,19386579,772357,11740917
8/8/20,19651806,778381,11941161
8/9/20,19884801,783575,12119939
8/10/20,20118013,788952,12284150
8/11/20,20383576,795567,12589218
8/12/20,20658646,802540,12829863
8/13/20,20948740,809327,12993779
8/14/20,21255813,815894,13277021
8/15/20,21504839,821948,13445625
8/16/20,21714880,826748,13678579
8/17/20,21927762,831371,13889591
8/18/20,22187166,838427,14117186
8/19/20,22464640,844850,14335183
8/20/20,22736119,851277,14542973
8/21/20,22998072,857049,14711467
8/22/20,23261601,862838,14921384
8/23/20,23464360,867145,15137915
8/24/20,23692460,872002,15337336
8/25/20,23937668,878565,15568885
8/26/20,24219359,885102,15794619
8/27/20,24506622,891317,16001856
8/28/20,24790561,897142,16200974
8/29/20,25051295,902930,16412387
8/30/20,25271033,907204,16622627
8/31/20,25535340,911637,16823417
9/1/20,25802224,918238,17081379
9/2/20,26084114,924555,17300616
9/3/20,26369544,930655,17521985
9/4/20,26671276,936495,17735486
9/5/20,26944997,941588,17936474
9/6/20,27173995,945723,18148265
9/7/20,27391278,955346,18345813
9/8/20,27637790,960469,18547610
9/9/20,27923100,966734,18787877
9/10/20,28227493,972736,19004538
9/11/20,28543855,978735,19228208
9/12/20,28832580,983793,19451142
9/13/20,29081415,987756,19638990
9/14/20,29348555,992363,19867489
9/15/20,29629107,998925,20093776
9/16/20,29934059,1004793,20323253
9/17/20,30249632,1010441,20543464
9/18/20,30576278,1016293,20794613
9/19/20,30869397,1021566,21031598
9/20/20,31124526,1025548,21268675
9/21/20,31384435,1029976,21514153
9/22/20,31668754,1036127,21733546
9/23/20,31980407,1042678,21996959
9/24/20,32301360,1048346,22252629
9/25/20,32631974,1054363,22491837
9/26/20,32918085,1059795,22753980
9/27/20,33165079,1063680,22967859
9/28/20,33426328,1067794,23190401
9/29/20,33709128,1073842,23431685
9/30/20,34033675,1080268,23679903
10/1/20,34352787,1089162,23901445
10/2/20,34682292,1094892,24073730
10/3/20,34979647,1099676,24329331
10/4/20,35240179,1103717,24551490
10/5/20,35551524,1110806,24788958
10/6/20,35867647,1116668,25021584
10/7/20,36216841,1122589,25276775
10/8/20,36576162,1128972,25496281
10/9/20,36936565,1135152,25703071
10/10/20,37292089,1140057,25898476
10/11/20,37581583,1144252,26121116
10/12/20,37871608,1148379,26321235
10/13/20,38190980,1153728,26513680
10/14/20,38571764,1159891,26725965
10/15/20,38978760,1166100,26933292
10/16/20,39389280,1172313,27136306
10/17/20,39761413,1178040,27334589
10/18/20,40092656,1181999,27536100
10/19/20,40467606,1186841,27738631
10/20/20,40856480,1193465,27950078
10/21/20,41296091,1200368,28161300
10/22/20,41778168,1206346,28388093
10/23/20,42272069,1213450,28594827
10/24/20,42728414,1219368,28806408
10/25/20,43087247,1223733,29003666
10/26/20,43570291,1229572,29242801
10/27/20,44038754,1236958,29832506
10/28/20,44560523,1244133,30098468
10/29/20,45111898,1251370,30345219
10/30/20,45683640,1259145,30600993
10/31/20,46155745,1265816,30845322
11/1/20,46594934,1271172,31103269
11/2/20,47143303,1277629,31383406
11/3/20,47708817,1287201,31634979
11/4/20,48200961,1297094,31914298
11/5/20,48820295,1305834,32217953
11/6/20,49443478,1314990,32506314
11/7/20,50042669,1322776,32805330
11/8/20,50533518,1329177,33058570
11/9/20,51043324,1336758,33315623
11/10/20,51614069,1346533,33572983
11/11/20,52238734,1356950,33953207
11/12/20,52878929,1366665,34179446
11/13/20,53539863,1376562,34481578
11/14/20,54126889,1385731,34759397
11/15/20,54617117,1392659,34990157
11/16/20,55142751,1400713,35380887
11/17/20,55745063,1411682,35814478
11/18/20,56367328,1423148,36177588
11/19/20,57021314,1434288,36551887
11/20/20,57695345,1446066,36907311
11/21/20,58287916,1455371,37246581
11/22/20,58785996,1463040,37520305
11/23/20,59320006,1471765,37931518
11/24/20,59910792,1484276,38303697
11/25/20,60527871,1496269,38741107
11/26/20,61117132,1507211,39107983
11/27/20,61812474,1518732,39489609
11/28/20,62420041,1528249,39849315
11/29/20,62915662,1535902,40167598
11/30/20,63422239,1544981,40569854
12/1/20,64037142,1557368,41046058
12/2/20,64677389,1569854,41508984
12/3/20,65367986,1582561,41935968
12/4/20,66064345,1594992,42426585
12/5/20,66706697,1605596,42862533
12/6/20,67250638,1613691,43178577
12/7/20,67785484,1622523,43591716
12/8/20,68416150,1634560,44032487
12/9/20,69081500,1647129,44458967
12/10/20,70576907,1659547,44950193
12/11/20,71282658,1672729,45428333
12/12/20,71931348,1683558,46933276
12/13/20,72470142,1691787,47328395
12/14/20,73021298,1700981,41338398
12/15/20,73669919,1714204,41696562
12/16/20,74387461,1728111,42058782
12/17/20,75126063,1741277,42434191
12/18/20,75847501,1754342,42751919
12/19/20,76483006,1765600,43103505
12/20/20,77030307,1773979,43380334
12/21/20,77576529,1783464,43723554
12/22/20,78227986,1797308,44086739
12/23/20,78910081,1811049,44410879
12/24/20,79603472,1823258,44725551
12/25/20,80096696,1831882,45017157
12/26/20,80629340,1840235,45425321
12/27/20,81042534,1848389,45717709
12/28/20,81541719,1857935,46016135
12/29/20,82213594,1872872,46369230
12/30/20,82938894,1888314,46757475
12/31/20,83778622,1901777,47055807
1/1/21,84342314,1911418,47359111
1/2/21,84946690,1920880,47614296
1/3/21,85467020,1928820,47882778
1/4/21,86024461,1938770,48173186
1/5/21,86765351,1954189,48488547
1/6/21,87556264,1969110,48801672
1/7/21,88426222,1984073,49125603
1/8/21,89261637,1999363,49422866
1/9/21,90017904,2012679,49753111
1/10/21,90619443,2022236,50023661
1/11/21,91233917,2032515,50313949
1/12/21,91926453,2049477,50657506
1/13/21,92669726,2065943,51023567
1/14/21,93428784,2081663,51396412
1/15/21,94212637,2097380,51717034
1/16/21,94869509,2111413,52034089
1/17/21,95397119,2121283,52349804
1/18/21,95914366,2131731,52668557
1/19/21,96507148,2147411,53071501
1/20/21,97194354,2165160,53399272
1/21/21,97863110,2182453,53765411
1/22/21,98526596,2198512,54147168
1/23/21,99103312,2213077,54463661
1/24/21,99565294,2222839,54774618
1/25/21,100046846,2233981,55089059
1/26/21,100608158,2251396,55418602
1/27/21,101209122,2268312,55759371
1/28/21,101824237,2284838,56075030
1/29/21,102413219,2300601,56439137
1/30/21,102928083,2313886,56790303
1/31/21,103324692,2323435,57079202
2/1/21,103767694,2333683,57351844
2/2/21,104233148,2348540,57702034
2/3/21,104758397,2364399,58031881
2/4/21,105230171,2377326,58325870
2/5/21,105766676,2394507,58607157
2/6/21,106201874,2406362,58901714
2/7/21,106553422,2414130,59179149
2/8/21,106893339,2423690,59411983
2/9/21,107300629,2438420,59783591
2/10/21,107741093,2452277,60052899
2/11/21,108184860,2466147,60328984
2/12/21,108614449,2479026,60616583
2/13/21,108994937,2489712,60862826
2/14/21,109303582,2496818,61058257
2/15/21,109584404,2504635,61346870
2/16/21,109944197,2515738,61582275
2/17/21,110330576,2527093,61876216
2/18/21,110741376,2539082,62112834
2/19/21,111151038,2550740,62347470
2/20/21,111526248,2559836,62616686
2/21/21,111845811,2566627,62833943
2/22/21,112141380,2573874,63016513
2/23/21,112534122,2585355,63295143
2/24/21,112979052,2597797,63504602
2/25/21,113432016,2608800,63732294
2/26/21,113873956,2619349,63992562
2/27/21,114270693,2628079,64243284
2/28/21,114578478,2634579,64418461
3/1/21,114883979,2642087,64633387
3/2/21,115197242,2652344,64903491
3/3/21,115639088,2663901,65132899
3/4/21,116097496,2674306,65383179
3/5/21,116546593,2684847,65609539
3/6/21,116960620,2693104,65846042
3/7/21,117335064,2699185,66084362
3/8/21,117640533,2706378,66358920
3/9/21,118054577,2716871,66621153
3/10/21,118513444,2727028,66856509
3/11/21,119003124,2737241,67129126
3/12/21,119492372,2747105,67397682
3/13/21,119947968,2755757,67650214
3/14/21,120313043,2761748,67895902
3/15/21,120667127,2769255,68185781
3/16/21,121134161,2779868,68452266
3/17/21,121679877,2790458,68716802
3/18/21,122227806,2801179,68985878
3/19/21,122790345,2811995,69264939
3/20/21,123288792,2820738,69523150
3/21/21,123729261,2829290,69803249
3/22/21,124150452,2837256,70137878
3/23/21,124656291,2848741,70451020
3/24/21,125285990,2859349,70786662
3/25/21,125938183,2870902,71098479
3/26/21,126578225,2883671,71463065
3/27/21,127162758,2893881,71768318
3/28/21,127655412,2901166,72097106
3/29/21,128114688,2909829,72401542
3/30/21,128676894,2921730,72736785
3/31/21,129350790,2934661,73119294
4/1/21,130060609,2946963,73464080
4/2/21,130705394,2957615,73784287
4/3/21,131245744,2966954,74150288
4/4/21,131805666,2974382,74498476
4/5/21,132302655,2982636,74846289
4/6/21,132910149,2995089,75216285
4/7/21,133573288,3010448,75699590
4/8/21,134409344,3024749,76094849
4/9/21,135156662,3039094,76548562
4/10/21,135827306,3052100,76933556
4/11/21,136536918,3061223,77464028
4/12/21,137150764,3071131,77858760
4/13/21,137914588,3084925,78345222
4/14/21,138725902,3099015,78792112
4/15/21,139547133,3112671,79236514
4/16/21,140406983,3126051,79740631
4/17/21,141200970,3138668,80259167
4/18/21,141901080,3147807,80839358
4/19/21,142592012,3158941,81374733
4/20/21,143431609,3173235,81979570
4/21/21,144320851,3187988,82491870
4/22/21,145220252,3201909,83128166
4/23/21,146127911,3217170,83767998
4/24/21,146952141,3230302,84344289
4/25/21,147680627,3241075,84878103
4/26/21,148369677,3252705,85565469
4/27/21,149208799,3267706,86246373
4/28/21,150107590,3283651,86843038
4/29/21,151001625,3299390,87550354
4/30/21,151892994,3313809,88236950
5/1/21,152687904,3326848,88919400
5/2/21,153375175,3337179,89612414
5/3/21,154065632,3348864,90255903
5/4/21,154850588,3362923,90912803
5/5/21,155692589,3377827,91626285
5/6/21,156565435,3392403,92301897
5/7/21,157400261,3406868,92998026
5/8/21,158188559,3420197,93709031
5/9/21,158837968,3430671,94371824
5/10/21,159463612,3441763,95000510
5/11/21,160189411,3455934,95751514
5/12/21,160956898,3470075,96399063
5/13/21,161691597,3483510,97089180
5/14/21,162401162,3496538,97754527
5/15/21,163032774,3508823,98397064
5/16/21,163579396,3519124,99064468
5/17/21,164122938,3530454,99808930
5/18/21,164742576,3544530,100552043
5/19/21,165414621,3557987,101250070
5/20/21,165696927,3571167,101886759
5/21/21,166323402,3584143,102501547
5/22/21,166895763,3595588,103118308
5/23/21,167377386,3605452,103620279
5/24/21,167828464,3614598,104247871
5/25/21,168361871,3627580,104824934
5/26/21,168930299,3640387,105380747
5/27/21,169477196,3653327,106078105
5/28/21,169982707,3665348,106633068
5/29/21,170463127,3676155,107140668
5/30/21,170853074,3684555,107630597
5/31/21,171240130,3693252,108159766
6/1/21,171700134,3708466,108743649
6/2/21,172187762,3720392,109272023
6/3/21,172668261,3730550,109701213
6/4/21,173093152,3741209,110226715
6/5/21,173489803,3750622,110704845
6/6/21,173812784,3757928,111146371
6/7/21,174134551,3766003,111568368
6/8/21,174504668,3776657,111983104
6/9/21,174922960,3786840,112435799
6/10/21,175376464,3802820,112849488
6/11/21,175798501,3814560,113225020
6/12/21,176166881,3824370,113563994
6/13/21,176469682,3833641,113993655
6/14/21,176778984,3841632,114340429
6/15/21,177153741,3852383,114800574
6/16/21,177542916,3862466,115149801
6/17/21,177938911,3871765,115530279
6/18/21,178342418,3880958,115849842
6/19/21,178689716,3889039,116181692
6/20/21,178994480,3895907,116446786
6/21/21,179291135,3902891,116804004
6/22/21,179701349,3911876,117107408
6/23/21,180097972,3921222,117507151
6/24/21,180507231,3929883,117796862
6/25/21,180924899,3939117,118125509
6/26/21,181287796,3946659,118420068
6/27/21,181599032,3952754,118678807
6/28/21,181932050,3959315,119006263
6/29/21,182313258,3967474,119299679
6/30/21,182712726,3976679,119580620
7/1/21,183148268,3985220,120008476
7/2/21,183590610,3993596,120299518
7/3/21,183964437,4000499,120569293
7/4/21,184292181,4007139,120868181
7/5/21,184670098,4014530,121235174
7/6/21,185120629,4023012,121563017
7/7/21,185585871,4031566,121831180
7/8/21,186067750,4040486,122123831
7/9/21,186580986,4048903,122462949
7/10/21,187002099,4055467,122907153
7/11/21,187371991,4063098,123197639
7/12/21,187806155,4071240,123499875
7/13/21,188331814,4079621,123783322
7/14/21,188869796,4088212,124113063
7/15/21,189446223,4096847,124394119
7/16/21,190042161,4105608,124784824
7/17/21,190531011,4113118,125065613
7/18/21,190951220,4119721,125382096
7/19/21,191440687,4126947,125688817
7/20/21,191973106,4147646,126008997
7/21/21,192529214,4156313,126315580
7/22/21,193094403,4165094,126671708
7/23/21,193822543,4173425,126918098
7/24/21,194254462,4182089,127435324
7/25/21,194700076,4189471,127762741
7/26/21,195240703,4197977,128063201
7/27/21,195847033,4207766,128409040
7/28/21,196497116,4217888,128745703
7/29/21,197139985,4228154,129094091
7/30/21,197872339,4237757,129401282
7/31/21,198389684,4246601,129705211
8/1/21,198872752,4254020,129994389
8/2/21,199443855,4262171,130277533
8/3/21,200078130,4272524,130582001
8/4/21,200758588,4283016,130899061
8/5/21,201444210,4294008,0
8/6/21,202263736,4304479,0
8/7/21,202825005,4313156,0
8/8/21,203292722,4320653,0
8/9/21,203911805,4329483,0
8/10/21,204557617,4341001,0
8/11/21,205288310,4351528,0
8/12/21,205994052,4362040,0
8/13/21,206795847,4372514,0
8/14/21,207348758,4381256,0
8/15/21,207815449,4388700,0
8/16/21,208479793,4398564,0
8/17/21,209162480,4409274,0
8/18/21,209898123,4420094,0
8/19/21,210609857,4431541,0
8/20/21,211395070,4442035,0
8/21/21,211954124,4450955,0
8/22/21,212402204,4458738,0
8/23/21,213086398,4468791,0
8/24/21,213763171,4479815,0
8/25/21,214500582,4491128,0
8/26/21,215237031,4502719,0
8/27/21,215988154,4513136,0
8/28/21,216545334,4521572,0
8/29/21,216992164,4528394,0
8/30/21,217664015,4537965,0
8/31/21,218284677,4547280,0
9/1/21,219003757,4559705,0
9/2/21,219680532,4570959,0
9/3/21,220404105,4581684,0
9/4/21,220900816,4589458,0
9/5/21,221347788,4596034,0
9/6/21,221825561,4604204,0
9/7/21,222482051,4614669,0
9/8/21,223119762,4624746,0
9/9/21,223759907,4635493,0
9/10/21,224418618,4644672,0
9/11/21,224887140,4653045,0
9/12/21,225258543,4658713,0
9/13/21,225836445,4667871,0
9/14/21,226386274,4677775,0
9/15/21,226953125,4688201,0
9/16/21,227540479,4698716,0
9/17/21,228163698,4707779,0
9/18/21,228687569,4714262,0
9/19/21,229050966,4720360,0
9/20/21,229581157,4728733,0
9/21/21,230069837,4738088,0
9/22/21,230604815,4747809,0
9/23/21,231152445,4757656,0
9/24/21,231701691,4766356,0
9/25/21,232075693,4771829,0
9/26/21,232431512,4777361,0
9/27/21,232914281,4785135,0
9/28/21,233365258,4794511,0
9/29/21,233856235,4803804,0
9/30/21,234346132,4812680,0
10/1/21,234868134,4821315,0
10/2/21,235218776,4827259,0
10/3/21,235527819,4831615,0
10/4/21,235974883,4838855,0
10/5/21,236397732,4846217,0
10/6/21,236904785,4855353,0
10/7/21,237366619,4864310,0
10/8/21,237842039,4871872,0
10/9/21,238182243,4876698,0
10/10/21,238498696,4881452,0
10/11/21,238886684,4887418,0
10/12/21,239324892,4895389,0
10/13/21,239781314,4904291,0
10/14/21,240234710,4912300,0
10/15/21,240692696,4919505,0
10/16/21,241034054,4924851,0
10/17/21,241347355,4929210,0
10/18/21,241775141,4935809,0
10/19/21,242206709,4943758,0
10/20/21,242683018,4952429,0
10/21/21,243145068,4960196,0
10/22/21,243637892,4968369,0
10/23/21,244008150,4974256,0
10/24/21,244317353,4978899,0
10/25/21,244769753,4985790,0
10/26/21,245196224,4993535,0
10/27/21,245710221,5002670,0
10/28/21,246193247,5011607,0
10/29/21,246687330,5019428,0
10/30/21,247061943,5025432,0
10/31/21,247410790,5030069,0
11/1/21,247868435,5036555,0
11/2/21,248272884,5043629,0
11/3/21,248797676,5052089,0
11/4/21,249315133,5059658,0
11/5/21,249839415,5068238,0
11/6/21,250245164,5074885,0
11/7/21,250585863,5079504,0
11/8/21,251110911,5086314,0
11/9/21,251580325,5094315,0
11/10/21,252153854,5102578,0
11/11/21,252674737,5110254,0
11/12/21,253274490,5119251,0
11/13/21,253670214,5125542,0
11/14/21,254018493,5130270,0
11/15/21,254620079,5137386,0
11/16/21,255126904,5144998,0
11/17/21,255742113,5154150,0
11/18/21,256363770,5162439,0
11/19/21,256978407,5170412,0
11/20/21,257416423,5176440,0
11/21/21,257796215,5181079,0
11/22/21,258500870,5188530,0
11/23/21,259093463,5196540,0
11/24/21,259751368,5205110,0
11/25/21,260348589,5212967,0
11/26/21,260962280,5219862,0
11/27/21,261381085,5225727,0
11/28/21,261770875,5230630,0
11/29/21,262513214,5238554,0
11/30/21,263113681,5246577,0
12/1/21,263816145,5255817,0
12/2/21,264523382,5265978,0
12/3/21,265254220,5274569,0
12/4/21,265726430,5280087,0
12/5/21,266146231,5287507,0
12/6/21,266849953,5294966,0
12/7/21,267489200,5302689,0
12/8/21,268200544,5310986,0
12/9/21,268898928,5319552,0
12/10/21,269592462,5327568,0
12/11/21,270059366,5333403,0
12/12/21,270485916,5337997,0
12/13/21,271179799,5344930,0
12/14/21,271816596,5352663,0
12/15/21,272556770,5361688,0
12/16/21,273300997,5369034,0
12/17/21,274068563,5376334,0
12/18/21,274598505,5382005,0
12/19/21,275083461,5386352,0
12/20/21,275893527,5393631,0
12/21/21,276652188,5401189,0
12/22/21,277566671,5411559,0
12/23/21,278578699,5418816,0
12/24/21,279434799,5424511,0
12/25/21,280116791,5428824,0
12/26/21,280692270,5432656,0
12/27/21,282033889,5439626,0
12/28/21,283370260,5447300,0
12/29/21,285075127,5455241,0
12/30/21,287025253,5462660,0
12/31/21,288728291,5469019,0
1/1/22,289931428,5473282,0
1/2/22,290849939,5476678,0
1/3/22,293188320,5482492,0
1/4/22,295801747,5491173,0
1/5/22,298385756,5498943,0
1/6/22,301054978,5506555,0
1/7/22,304008616,5513806,0
1/8/22,306145200,5519014,0
1/9/22,308150282,5523075,0
1/10/22,311401997,5529985,0
1/11/22,314432404,5539088,0
1/12/22,317879058,5548116,0
1/13/22,321066163,5556348,0
1/14/22,324382616,5564318,0
1/15/22,326810379,5570448,0
1/16/22,328981578,5574962,0
1/17/22,331759391,5581472,0
1/18/22,335523995,5590572,0
1/19/22,339607276,5600509,0
1/20/22,343341570,5610150,0
1/21/22,347151687,5620108,0
1/22/22,349801473,5626133,0
1/23/22,352184811,5631303,0
1/24/22,355817671,5640214,0
1/25/22,359471485,5650697,0
1/26/22,363233158,5661409,0
1/27/22,366932890,5671713,0
1/28/22,370611819,5684057,0
1/29/22,373175361,5691951,0
1/30/22,375352380,5697504,0
1/31/22,379211855,5707928,0
2/1/22,382341587,5720605,0
2/2/22,385526232,5732521,0
2/3/22,388720309,5744164,0
2/4/22,391675874,5757335,0
2/5/22,393779507,5765553,0
2/6/22,395542316,5771531,0
2/7/22,398516432,5782632,0
2/8/22,401116122,5795427,0
2/9/22,403549117,5808554,0
2/10/22,406363391,5820436,0
2/11/22,408788228,5832423,0
2/12/22,410513339,5841073,0
2/13/22,411919279,5846347,0
2/14/22,413962163,5857576,0
2/15/22,415832953,5868222,0
2/16/22,418072759,5881335,0
2/17/22,420135672,5893543,0
2/18/22,422119106,5904181,0
2/19/22,423596187,5912539,0
2/20/22,424789720,5917919,0
2/21/22,426495378,5925467,0
2/22/22,428169102,5935518,0
2/23/22,430086590,5947505,0
2/24/22,431874501,5958316,0
2/25/22,433528807,5967385,0
2/26/22,434802795,5973927,0
2/27/22,435854949,5978627,0
2/28/22,437463827,5986294,0
3/1/22,439062564,5994765,0
3/2/22,440722439,6002946,0
3/3/22,442497646,6011120,0
3/4/22,444260070,6019817,0
3/5/22,445550401,6025459,0
3/6/22,446660147,6029686,0
3/7/22,448401620,6037552,0
3/8/22,449985919,6044438,0
3/9/22,451976099,6052634,0
3/10/22,453847080,6060159,0
3/11/22,455719680,6066369,0
3/12/22,457280387,6071102,0
3/13/22,458418032,6074656,0
3/14/22,460415942,6080255,0
3/15/22,462225344,6085871,0
3/16/22,464464205,6092759,0
3/17/22,466542109,6099841,0
3/18/22,468433636,6105602,0
3/19/22,469913015,6109457,0
3/20/22,470873843,6112784,0
3/21/22,472753728,6128916,0
3/22/22,474730951,6133991,0
3/23/22,476534854,6139975,0
3/24/22,478319055,6145245,0
3/25/22,480078626,6154420,0
3/26/22,481203035,6157240,0
3/27/22,482053796,6159875,0
3/28/22,483898093,6164157,0
3/29/22,485649915,6168605,0
3/30/22,487247590,6173509,0
3/31/22,488810861,6178001,0
4/1/22,490229883,6182878,0
4/2/22,491102544,6185451,0
4/3/22,491795689,6187345,0
4/4/22,493029039,6190722,0
4/5/22,494394436,6194890,0
4/6/22,495614407,6199209,0
4/7/22,496892754,6203530,0
4/8/22,498067151,6207458,0
4/9/22,498809406,6209802,0
4/10/22,499371019,6211574,0
4/11/22,500357346,6214427,0
4/12/22,501476932,6217706,0
4/13/22,502551958,6221772,0
4/14/22,503514561,6225333,0
4/15/22,504173546,6227807,0
4/16/22,504728004,6229417,0
4/17/22,505135766,6230953,0
4/18/22,505593027,6232516,0
4/19/22,506611148,6235533,0
4/20/22,507572864,6239694,0
4/21/22,508494564,6242784,0
4/22/22,509326073,6245549,0
4/23/22,509804848,6247151,0
4/24/22,510170201,6248317,0
4/25/22,510807207,6250454,0
4/26/22,511586152,6254734,0
4/27/22,512270545,6257861,0
4/28/22,513029820,6260860,0
4/29/22,513674263,6263399,0
4/30/22,514028003,6264863,0
5/1/22,514337424,6266066,0
